date,dateStata,dateISO,year,month,item,quintiles,mean_decile_price
1,01-02-1988,1988-02-01,1988,2,Beef Mince,2,2.4315345
1,01-02-1988,1988-02-01,1988,2,Eggs,5,1.1581818
1,01-02-1988,1988-02-01,1988,2,Beef Mince,1,2.17047
1,01-02-1988,1988-02-01,1988,2,Car Oil,4,2.2310891
1,01-02-1988,1988-02-01,1988,2,White Loaf of Bread,1,.52829272
1,01-02-1988,1988-02-01,1988,2,Car Oil,5,2.4054761
1,01-02-1988,1988-02-01,1988,2,White Loaf of Bread,3,.58999997
1,01-02-1988,1988-02-01,1988,2,Car Oil,2,2.013299
1,01-02-1988,1988-02-01,1988,2,Car Oil,1,1.8171999
1,01-02-1988,1988-02-01,1988,2,Beef Mince,4,3.1736729
1,01-02-1988,1988-02-01,1988,2,Beef Mince,3,2.7097657
1,01-02-1988,1988-02-01,1988,2,Pasta,4,.44454545
1,01-02-1988,1988-02-01,1988,2,Pasta,2,.38862067
1,01-02-1988,1988-02-01,1988,2,Pasta,5,.4948
1,01-02-1988,1988-02-01,1988,2,Eggs,3,1.0634285
1,01-02-1988,1988-02-01,1988,2,Car Oil,3,2.1286275
1,01-02-1988,1988-02-01,1988,2,White Loaf of Bread,4,.60000002
1,01-02-1988,1988-02-01,1988,2,Eggs,4,1.0955263
1,01-02-1988,1988-02-01,1988,2,White Loaf of Bread,2,.57233334
1,01-02-1988,1988-02-01,1988,2,Pasta,1,.34120002
1,01-02-1988,1988-02-01,1988,2,Eggs,1,.74580646
1,01-02-1988,1988-02-01,1988,2,Beef Mince,5,3.6185832
1,01-02-1988,1988-02-01,1988,2,White Loaf of Bread,5,.62615383
1,01-02-1988,1988-02-01,1988,2,Eggs,2,.96600002
1,01-02-1988,1988-02-01,1988,2,Pasta,3,.41249999
2,01-03-1988,1988-03-01,1988,3,Car Oil,4,2.2248454
2,01-03-1988,1988-03-01,1988,3,White Loaf of Bread,1,.53027779
2,01-03-1988,1988-03-01,1988,3,White Loaf of Bread,4,.60346156
2,01-03-1988,1988-03-01,1988,3,Car Oil,5,2.3777552
2,01-03-1988,1988-03-01,1988,3,Car Oil,1,1.8746377
2,01-03-1988,1988-03-01,1988,3,Pasta,1,.34240001
2,01-03-1988,1988-03-01,1988,3,White Loaf of Bread,3,.58999997
2,01-03-1988,1988-03-01,1988,3,White Loaf of Bread,2,.57258064
2,01-03-1988,1988-03-01,1988,3,White Loaf of Bread,5,.63136363
2,01-03-1988,1988-03-01,1988,3,Beef Mince,1,2.1770623
2,01-03-1988,1988-03-01,1988,3,Eggs,3,1.0656667
2,01-03-1988,1988-03-01,1988,3,Car Oil,2,2.0553684
2,01-03-1988,1988-03-01,1988,3,Beef Mince,4,3.3059502
2,01-03-1988,1988-03-01,1988,3,Beef Mince,3,2.7896132
2,01-03-1988,1988-03-01,1988,3,Pasta,2,.38919997
2,01-03-1988,1988-03-01,1988,3,Pasta,5,.53181815
2,01-03-1988,1988-03-01,1988,3,Beef Mince,2,2.5057082
2,01-03-1988,1988-03-01,1988,3,Car Oil,3,2.1479032
2,01-03-1988,1988-03-01,1988,3,Pasta,4,.45962963
2,01-03-1988,1988-03-01,1988,3,Eggs,4,1.095946
2,01-03-1988,1988-03-01,1988,3,Pasta,3,.41416666
2,01-03-1988,1988-03-01,1988,3,Beef Mince,5,3.8016877
2,01-03-1988,1988-03-01,1988,3,Eggs,1,.7578125
2,01-03-1988,1988-03-01,1988,3,Eggs,2,.93849999
2,01-03-1988,1988-03-01,1988,3,Eggs,5,1.2372727
3,01-04-1988,1988-04-01,1988,4,Pasta,1,.34482759
3,01-04-1988,1988-04-01,1988,4,Car Oil,2,2.0581176
3,01-04-1988,1988-04-01,1988,4,Pasta,5,.52499998
3,01-04-1988,1988-04-01,1988,4,Car Oil,4,2.2571054
3,01-04-1988,1988-04-01,1988,4,Eggs,2,.99888885
3,01-04-1988,1988-04-01,1988,4,Car Oil,1,1.8659849
3,01-04-1988,1988-04-01,1988,4,Eggs,4,1.0945946
3,01-04-1988,1988-04-01,1988,4,Pasta,4,.45280001
3,01-04-1988,1988-04-01,1988,4,Pasta,2,.38999999
3,01-04-1988,1988-04-01,1988,4,Beef Mince,3,2.7741468
3,01-04-1988,1988-04-01,1988,4,Beef Mince,4,3.3689859
3,01-04-1988,1988-04-01,1988,4,Pasta,3,.41181818
3,01-04-1988,1988-04-01,1988,4,Beef Mince,1,2.173496
3,01-04-1988,1988-04-01,1988,4,Eggs,1,.74714285
3,01-04-1988,1988-04-01,1988,4,Eggs,3,1.0778261
3,01-04-1988,1988-04-01,1988,4,Beef Mince,5,3.8959591
3,01-04-1988,1988-04-01,1988,4,White Loaf of Bread,1,.52472222
3,01-04-1988,1988-04-01,1988,4,Car Oil,3,2.1688395
3,01-04-1988,1988-04-01,1988,4,Car Oil,5,2.396739
3,01-04-1988,1988-04-01,1988,4,Beef Mince,2,2.4987257
3,01-04-1988,1988-04-01,1988,4,Eggs,5,1.2392308
3,01-04-1988,1988-04-01,1988,4,White Loaf of Bread,4,.60000002
3,01-04-1988,1988-04-01,1988,4,White Loaf of Bread,5,.62516129
3,01-04-1988,1988-04-01,1988,4,White Loaf of Bread,3,.58999997
3,01-04-1988,1988-04-01,1988,4,White Loaf of Bread,2,.57266665
4,01-05-1988,1988-05-01,1988,5,Car Oil,5,2.3946316
4,01-05-1988,1988-05-01,1988,5,Beef Mince,2,2.5142922
4,01-05-1988,1988-05-01,1988,5,White Loaf of Bread,2,.58426225
4,01-05-1988,1988-05-01,1988,5,Beef Mince,5,3.846561
4,01-05-1988,1988-05-01,1988,5,Eggs,1,.72888887
4,01-05-1988,1988-05-01,1988,5,Eggs,4,1.0954839
4,01-05-1988,1988-05-01,1988,5,Beef Mince,3,2.7911515
